
Encoding: task 1 of 2, 0.04 %
Encoding: task 1 of 2, 0.08 %
Encoding: task 1 of 2, 0.09 %
Encoding: task 1 of 2, 0.12 %
Encoding: task 1 of 2, 0.12 %
Encoding: task 1 of 2, 0.15 %
Encoding: task 1 of 2, 0.17 %
Encoding: task 1 of 2, 0.19 %
Encoding: task 1 of 2, 0.20 %
Encoding: task 1 of 2, 0.24 %
Encoding: task 1 of 2, 0.25 %
Encoding: task 1 of 2, 0.27 %
Encoding: task 1 of 2, 0.29 %
Encoding: task 1 of 2, 3.65 % (61.09 fps, avg 49.73 fps, ETA 00h20m26s)
Encoding: task 1 of 2, 3.67 % (62.42 fps, avg 49.93 fps, ETA 00h20m20s)
Encoding: task 1 of 2, 3.71 % (62.42 fps, avg 49.93 fps, ETA 00h20m20s)
Encoding: task 1 of 2, 3.73 % (62.42 fps, avg 49.93 fps, ETA 00h20m20s)
Encoding: task 1 of 2, 3.77 % (62.09 fps, avg 50.25 fps, ETA 00h20m11s)
Encoding: task 1 of 2, 3.79 % (62.09 fps, avg 50.25 fps, ETA 00h20m11s)
Encoding: task 1 of 2, 3.83 % (62.09 fps, avg 50.25 fps, ETA 00h20m11s)
Encoding: task 1 of 2, 3.85 % (62.09 fps, avg 50.25 fps, ETA 00h20m11s)
Encoding: task 1 of 2, 3.87 % (64.52 fps, avg 50.67 fps, ETA 00h19m59s)
Encoding: task 1 of 2, 3.91 % (64.52 fps, avg 50.67 fps, ETA 00h19m59s)
Encoding: task 1 of 2, 3.92 % (64.52 fps, avg 50.67 fps, ETA 00h19m59s)
Encoding: task 1 of 2, 3.96 % (60.44 fps, avg 50.59 fps, ETA 00h20m00s)
Encoding: task 1 of 2, 3.99 % (60.44 fps, avg 50.59 fps, ETA 00h20m00s)
Encoding: task 1 of 2, 4.01 % (60.44 fps, avg 50.59 fps, ETA 00h20m00s)
Encoding: task 1 of 2, 4.03 % (60.44 fps, avg 50.59 fps, ETA 00h20m00s)
Encoding: task 1 of 2, 4.05 % (55.77 fps, avg 50.59 fps, ETA 00h19m59s)
Encoding: task 1 of 2, 4.07 % (55.77 fps, avg 50.59 fps, ETA 00h19m59s)
Encoding: task 1 of 2, 4.10 % (55.77 fps, avg 50.59 fps, ETA 00h19m59s)
Encoding: task 1 of 2, 4.11 % (47.60 fps, avg 50.48 fps, ETA 00h20m01s)
Encoding: task 1 of 2, 4.14 % (47.60 fps, avg 50.48 fps, ETA 00h20m01s)
Encoding: task 1 of 2, 4.16 % (47.60 fps, avg 50.48 fps, ETA 00h20m01s)
Encoding: task 1 of 2, 4.19 % (48.21 fps, avg 50.45 fps, ETA 00h20m01s)
Encoding: task 1 of 2, 4.21 % (48.21 fps, avg 50.45 fps, ETA 00h20m01s)
Encoding: task 1 of 2, 4.23 % (48.21 fps, avg 50.45 fps, ETA 00h20m01s)
Encoding: task 1 of 2, 4.26 % (48.21 fps, avg 50.45 fps, ETA 00h20m01s)
